Seq	sample	Entrez_old	Entrez	Symbol
10677	FAM92B	339145	339145	CIBAR2
10678	KLK4	9622	9622	KLK4
10679	DMRTC1	63947	63947	DMRTC1
10680	DMRTC2	63946	63946	DMRTC2
10681	KLK7	5650	5650	KLK7
10682	KLK8	11202	11202	KLK8
10683	KLK9	284366	284366	KLK9
10684	THOC1	9984	9984	THOC1
10685	THOC7	80145	80145	THOC7
10686	THOC6	79228	79228	THOC6
10687	THOC5	8563	8563	THOC5
10688	PRRG1	5638	5638	PRRG1
10689	PRRG2	5639	5639	PRRG2
10690	TTTY23	252955	252955	TTTY23
10691	SNORD45A	26805	26805	SNORD45A
10692	SOX9	6662	6662	SOX9
10693	ZNF670	93474	93474	ZNF670
10694	RHBDL2	54933	54933	RHBDL2
10695	RHBDL3	162494	162494	RHBDL3
10696	LOC144486	144486	144486	CEP83-DT
10697	RHBDL1	9028	9028	RHBDL1
10698	PARP16	54956	54956	PARP16
10699	TRIM6-TRIM34	445372	445372	TRIM6-TRIM34
10700	HSD3B7	80270	80270	HSD3B7
10701	FLJ42709	441094	441094	NR2F1-AS1
10702	HSD3B1	3283	3283	HSD3B1
10703	HSD3B2	3284	3284	HSD3B2
10704	MTRR	4552	4552	MTRR
10705	LOC100129034	100129034	100129034	LOC100129034
10706	ADAM32	203102	203102	ADAM32
10707	YWHAG	7532	7532	YWHAG
10708	CD300A	11314	11314	CD300A
10709	WHSC2	7469	7469	NELFA
10710	CD300E	342510	342510	CD300E
10711	CLUAP1	23059	23059	CLUAP1
10712	FOXP3	50943	50943	FOXP3
10713	COPS8	10920	10920	COPS8
10714	FOXP1	27086	27086	FOXP1
10715	RCCD1	91433	91433	RCCD1
10716	ADAM30	11085	11085	ADAM30
10717	FOXP4	116113	116113	FOXP4
10718	MSL3	10943	10943	MSL3
10719	COPS2	9318	9318	COPS2
10720	COPS3	8533	8533	COPS3
10721	SAA4	6291	6291	SAA4
10722	COPS6	10980	10980	COPS6
10723	NUP85	79902	79902	NUP85
10724	COPS4	51138	51138	COPS4
10725	COPS5	10987	10987	COPS5
10726	YTHDF3	253943	253943	YTHDF3
10727	PPOX	5498	5498	PPOX
10728	YTHDF1	54915	54915	YTHDF1
10729	ZNF596	169270	169270	ZNF596
10730	MDGA1	266727	266727	MDGA1
10731	GTSF1	121355	121355	GTSF1
10732	ZNF595	152687	152687	ZNF595
10733	ZNF598	90850	90850	ZNF598
10734	PARP11	57097	57097	PARP11
10735	TMEM72	643236	643236	TMEM72
10736	MYCN	4613	4613	MYCN
10737	KIAA0802	23255	23255	MTCL1
10738	SREBF1	6720	6720	SREBF1
10739	PLCH2	9651	9651	PLCH2
10740	SPOP	8405	8405	SPOP
10741	TKT	7086	7086	TKT
10742	PLCH1	23007	23007	PLCH1
10743	VEZF1	7716	7716	VEZF1
10744	SHOX2	6474	6474	SHOX2
10745	NLK	51701	51701	NLK
10746	FDFT1	2222	2222	FDFT1
10747	FAM135A	57579	57579	FAM135A
10748	FAM135B	51059	51059	FAM135B
10749	NLN	57486	57486	NLN
10750	IGF2	3481	3481	IGF2
10751	?|100130426	100130426	100286938	VPS13A-AS1
10752	IGF1	3479	3479	IGF1
10753	DLD	1738	1738	DLD
10754	TMED5	50999	50999	TMED5
10755	NUDT1	4521	4521	NUDT1
10756	NUDT2	318	318	NUDT2
10757	NUDT3	11165	11165	NUDT3
10758	NUDT4	11163	11163	NUDT4
10759	NUDT5	11164	11164	NUDT5
10760	NUDT6	11162	11162	NUDT6
10761	NUDT7	283927	283927	NUDT7
10762	TFPI	7035	7035	TFPI
10763	TWSG1	57045	57045	TWSG1
10764	SEPN1	57190	57190	SELENON
10765	PVR	5817	5817	PVR
10766	TK2	7084	7084	TK2
10767	OR2B11	127623	127623	OR2B11
10768	SNORA81	677847	677847	SNORA81
10769	PHLDB1	23187	23187	PHLDB1
10770	COL16A1	1307	1307	COL16A1
10771	PHLDB3	653583	653583	PHLDB3
10772	NTHL1	4913	4913	NTHL1
10773	LARS	51520	51520	LARS1
10774	OR2M4	26245	26245	OR2M4
10775	SST	6750	6750	SST
10776	ZNF628	89887	89887	ZNF628
10777	FLJ42875	440556	440556	PRDM16-DT
10778	MAL	4118	4118	MAL
10779	CYP27A1	1593	1593	CYP27A1
10780	MEF2B	100271849	100271849	MEF2B
10781	MEF2A	4205	4205	MEF2A
10782	FETUB	26998	26998	FETUB
10783	DDRGK1	65992	65992	DDRGK1
10784	TP53BP1	7158	7158	TP53BP1
10785	MSLN	10232	10232	MSLN
10786	FBXL20	84961	84961	FBXL20
10787	FBXL21	26223	26223	FBXL21P
10788	FBXL22	283807	283807	FBXL22
10789	LOC100286844	100286844	100286844	BCDIN3D-AS1
10790	EPHX1	2052	2052	EPHX1
10791	EPHX2	2053	2053	EPHX2
10792	ARGFXP2	503640	503640	ARGFXP2
10793	EPHX4	253152	253152	EPHX4
10794	ZNF333	84449	84449	ZNF333
10795	ZNF330	27309	27309	ZNF330
10796	FAM168A	23201	23201	FAM168A
10797	TEX15	56154	56154	TEX15
10798	RPLP2	6181	6181	RPLP2
10799	NSL1	25936	25936	NSL1
10800	RPLP0	6175	6175	RPLP0
10801	TEX11	56159	56159	TEX11
10802	TEX10	54881	54881	TEX10
10803	PEBP4	157310	157310	PEBP4
10804	CD300LG	146894	146894	CD300LG
10805	CD300LF	146722	146722	CD300LF
10806	SLCO1B1	10599	10599	SLCO1B1
10807	CD300LD	100131439	100131439	CD300LD
10808	CD300LB	124599	124599	CD300LB
10809	SGSM3	27352	27352	SGSM3
10810	MALAT1	378938	378938	MALAT1
10811	LRRC3B	116135	116135	LRRC3B
10812	RSC1A1	6248	6248	RSC1A1
10813	ECD	11319	11319	ECD
10814	SFRS1	6426	6426	SRSF1
10815	NOTCH2NL	388677	388677	NOTCH2NLA
10816	SLC7A5P1	81893	81893	SLC7A5P1
10817	LOC100133893	100133893	100287284	MANSC4
10818	NFKBIB	4793	4793	NFKBIB
10819	LOC157627	157627	157627	MIR124-1HG
10820	CIB2	10518	10518	CIB2
